0,1,2,3,4,5,6,7,8
0j,(1.1873692334152525e-10+7.888609052210118e-31j),(0.0010855616881597584+2.168404344971009e-19j),(1.4024557226191284e-08-5.505714157152952e-20j),(1.8569656752881168e-09+2.371692252312041e-19j),(1.711177539669587e-11+6.895377586242039e-19j),(8.150255365126948e-09-1.8888834723770898e-19j),(8.77842477395656e-11+4.758207581201032e-19j),(2.231725520224076e-09-4.785736151986797e-20j)
0j,(1.187369218376899e-10+2.5849394142282115e-26j),(7.080723446159439e-05-4.336808689942018e-19j),(6.130880352813395e-10-2.9061700420295045e-18j),(1.3783846439509127e-09-3.1407981684189457e-18j),(5.326217930971686e-10-1.7110065534536867e-19j),(5.440904525903406e-10-1.5047540307972646e-18j),(2.4776793532360367e-10+9.372419561368833e-19j),(1.1274111773287722e-10+4.849263623030869e-19j)
0j,(1.1873692183768989e-10+0j),(7.080723446159444e-05-4.336808689942018e-19j),(6.130880358452516e-10-1.9960331402047587e-18j),(1.3783846415749853e-09+1.6483261153568685e-18j),(5.326217922916403e-10-5.9211838177811865e-18j),(5.440904525263896e-10-8.936197593532869e-20j),(2.477679332081389e-10-1.9058241313221758e-20j),(1.1274111754383006e-10+1.73429995950318e-19j)
(1+0j),(0.9999999996437895+1.2800391037040944e-17j),(0.9987728238429158+1.734723475976807e-18j),(0.9999999847492689-1.3877787807814457e-17j),(0.9999999953862677+6.938893903907228e-18j),(0.9999999989176449-1.3877787807814457e-17j),(0.9999999907615669+1.0408340855860843e-17j),(0.9999999994166793-6.938893903907228e-18j),(0.9999999975427925+1.3877787807814457e-17j)
