0,1,2,3,4,5,6,7,8
0j,(0.036794180867995-3.469446951953614e-18j),(0.056448738476585845+3.469446951953614e-18j),(0.5065948774858826-6.938893903907228e-18j),(0.5935339460478011-1.3877787807814457e-17j),(0.1059070609340206+0j),(0.8029921559958055-2.7755575615628914e-17j),(0.9354892173840207+2.0816681711721685e-17j),(0.8238093839885862+0j)
0j,(0.014667320753024148+1.1926223897340549e-18j),(0.045595205048865085+3.469446951953614e-18j),(0.0007792538351792167-1.734723475976807e-18j),(0.00774675347760756+3.903127820947816e-18j),(0.2588265895178473-8.673617379884035e-18j),(0.005878313051675091+3.469446951953614e-18j),(0.00817253744203256+1.734723475976807e-17j),(0.08696562247038242+0j)
0j,(0.01466732075302412+0j),(0.0455952050488651-3.469446951953614e-18j),(0.000779253835179218+6.938893903907228e-18j),(0.007746753477607463-3.469446951953614e-18j),(0.2588265895178473+0j),(0.005878313051675096-3.469446951953614e-18j),(0.008172537442032684-6.938893903907228e-18j),(0.08696562247038309+6.938893903907228e-18j)
(1+0j),(0.9338711776259562+2.42861286636753e-17j),(0.8523608514256836+6.938893903907228e-18j),(0.4918466148437596+2.6020852139652106e-18j),(0.39097254699698136+1.0408340855860843e-17j),(0.3764397600302841+1.3877787807814457e-17j),(0.18525121790084415+6.505213034913027e-19j),(0.04816570773191274+3.469446951953614e-18j),(0.0022593710706480755+2.168404344971009e-18j)
